id,pose rmsd,pocket rmsd,qs score,lddt-pli,confidence
b6ywb8_dtp,,4.164485037847856,1.0,,0.57390493
d9j2t9_lp5,,0.5537475644665105,1.0,,0.50256795
d9j2t9_mgp,,0.26569042600649273,1.0,,0.6398615
o14965_6f2,,1.6953077081952903,1.0,,0.6976614
o14965_g7w,,2.55398811035798,1.0,,0.63059336
o14965_ljf,,2.3764275540359368,1.0,,0.60211
o14965_mmh,2.008477210998535,2.927832515425236,1.0,0.7383570671081543,0.58330995
o14965_nrm,,1.57029165222426,1.0,,0.6958212
o15530_3q3,,4.178936083192876,1.0,,0.6855981
o15530_3q4,,4.728386640992258,1.0,,0.70468426
o15530_3rc,,4.311155284057475,1.0,,0.74595565
o15530_mp7,,2.7922326985472465,0.0,,0.6564055
o60885_5j5,,0.27272714461515973,1.0,,0.6592536
o60885_yx4,,0.44096887764179593,1.0,,0.74835116
p00044_6vb,,0.43719591961162346,1.0,,0.52359706
p00044_80m,,5.080743010597061,1.0,,0.45625958
p00044_evb,,4.0731997132979165,1.0,,0.50066143
p00044_fwq,,1.2753073013881664,1.0,,0.5430278
p00183_cah,,2.2403509162526043,1.0,,0.78820336
p00183_cam,,2.241870844403044,1.0,,0.8129433
p00183_nct,,1.8168062686999156,1.0,,0.7547225
p00533_03p,,2.989611566172642,1.0,,0.66472536
p00533_7vh,,2.8956121203289356,1.0,,0.6806203
p00533_8jc,,1.5441946856943098,1.0,,0.6242933
p00533_pox,,2.9705773376464486,1.0,,0.6631173
p00533_qqm,,1.5441998817433025,1.0,,0.6644138
p00533_yy3,,1.5860382969836795,1.0,,0.6568765
p00698_0bp,,0.972645845477933,1.0,,0.639556
p00698_0uf,,0.7751163296829505,1.0,,0.5924169
p00698_a5c,,0.89268419702333,1.0,,0.76995105
p00698_dm0,,2.7532770403092552,0.0,,0.6907728
p00698_kto,,0.20489411951933034,1.0,,0.6711886
p00760_bet,1.4660329818725586,0.1568393481013721,1.0,0.7909836173057556,0.6044406
p00772_217,4.117135524749756,0.2555337110538077,1.0,0.4859068691730499,0.6949061
p01112_92v,,2.3574099417689105,1.0,,0.6422405
p01112_rsf,,2.3279558761716475,1.0,,0.6912029
p01116_6ic,,1.0239667866829847,1.0,,0.63409233
p01116_7nl,,1.240430727402164,1.0,,0.6252379
p01116_7nz,,1.2738161321724568,1.0,,0.63104105
p01584_k0g,,0.1781007192454201,1.0,,0.7057351
p01584_k34,,0.2619386228830693,1.0,,0.74569494
p01584_sx2,,0.2569111144393282,1.0,,0.70539594
p02699_bgl,,3.1181592029308405,0.06979068054657996,,0.5603677
p02699_bng,,1.4319245950429775,0.9109702218812469,,0.5441985
p02699_htg,1.9520976543426514,11.04613699558392,0.06988424015334321,0.7524350881576538,0.51749045
p02753_2t1,,2.8849443415710176,1.0,,0.6226079
p02753_2wl,,3.043088474720215,0.0,,0.60625285
p02753_rtl,,2.8562866383535144,1.0,,0.69549936
p02768_imn,,2.9202875201098615,1.0,,0.7000305
p02768_moa,,2.812690036658624,1.0,,0.63907456
p02829_np5,,2.992749986054843,0.0,,0.6968704
p02829_rda,,2.990089364900685,0.0,,0.61746997
p02829_rdc,,3.0462582418781263,0.0,,0.7019153
p03007_tmp,0.809422492980957,2.1393666928483572,1.0,0.8899999856948853,0.7718045
p03366_f95,,0.4529950978232953,0.0,,0.6815257
p03369_smc,,1.5305060066627205,0.0,,0.7188462
p04150_486,,3.267454687757009,1.0,,0.7368559
p04150_hj4,,3.222778884421426,1.0,,0.73796594
p04585_p1y,,4.437733055238638,1.0,,0.7229871
p04637_goh,,0.4717755521064363,0.0,,0.7327273
