id,pose rmsd,pocket rmsd,qs score,lddt-pli,confidence
b6ywb8,14.052980041503906,27.208413871357784,1.0,0.06888138353824616,0.9196934223175048
d9j2t9,25.518418502807616,17.059787020757103,1.0,0.0018720501102507114,0.9015124678611756
o14936,28.061088180541994,18.199368284097453,1.0,0.0012324077659286558,0.9174294888973236
o14965,16.703433799743653,21.883653013056495,1.0,0.01800913829356432,0.9648354530334473
o15530,18.07595157623291,17.51583206079493,1.0,0.020620532520115375,0.9485628128051757
o60885,20.17684440612793,15.260186722216645,1.0,0.03818683996796608,0.738834798336029
o75530,23.007430267333984,,1.0,0.03364191553555429,0.9157031536102295
p00044,,14.346985649829861,1.0,,0.9320126454035441
p00183,,20.092250588937,1.0,,0.9600906252861023
p00533,19.428636169433595,21.073912292441676,1.0,0.011913016607286409,0.855994588136673
p00698,13.825773000717163,17.521474151823718,1.0,0.12537164227105677,0.9627323547999064
p00734,,,1.0,,0.9363324165344238
p00760,13.665647888183594,18.18054215858141,1.0,0.014918441139161586,0.9114245176315308
p00772,14.630014991760254,24.07863468081422,1.0,0.02118582222610712,0.9469465970993042
p01112,,10.430915864341092,1.0,,0.979964804649353
p01116,,7.758886621582692,1.0,,0.9767954349517822
p01584,20.38206367492676,15.298410959793165,1.0,0.006955794082023204,0.9766613006591797
p02699,15.681308841705322,25.917223528595457,0.0,0.07737575946375727,0.8844582200050354
p02753,,11.73773748981896,1.0,,0.9478947162628174
p02768,8.712182140350341,22.95975368513397,1.0,0.2498377099633217,0.9455937743186951
p02829,,23.076161904441193,0.0,,0.9262770295143128
p03007,14.264505386352539,18.168839409312028,1.0,0.03983104713261128,0.9703289628028869
p03366,34.03446369171142,20.521221230239327,1.0,0.013309352099895477,0.8199962019920349
p03369,,13.326298430137872,1.0,,0.6842979311943054
p04150,13.752800941467285,21.080243116556407,1.0,0.04266010150313378,0.9228492736816406
p04585,38.146420860290526,17.719508374245482,1.0,0.016955266892910003,0.8696714043617249
p04637,24.532167816162108,19.90636957814386,1.0,0.01645219080382958,0.963175255060196
p05121,19.75563316345215,16.479597462824195,0.0,0.01592008889419958,0.9770236253738404
p05230,7.270043420791626,16.69767220899695,1.0,0.15546391308307647,0.973945677280426
p06129,16.137546825408936,22.951188810524037,1.0,0.0007099574548192322,0.9165833711624145
p06401,,24.164391990641782,0.0,,0.9139825463294983
p06730,,15.8639770782017,1.0,,0.9693761587142944
p06873,31.706619262695312,16.815933157550102,1.0,0.0375,0.9451039433479309
p07260,,17.234403132360345,1.0,,0.9687273502349854
p07900,20.500594329833984,15.274458582803817,1.0,0.017921163071878254,0.9592311441898346
p08069,36.421791076660156,21.837092425472747,1.0,0.001205338886938989,0.8795249581336975
p08235,18.722228050231934,28.06299533518604,0.0,0.023462477931752802,0.8846429705619812
p09391,8.533184242248534,20.27740124668449,1.0,0.08700580708682537,0.9372007131576539
p09874,16.23069486618042,24.001872441411145,0.0,0.04328146874904633,0.9081918597221375
p0a6a8,22.03922882080078,12.425859297429113,1.0,0.04412336433306337,0.9443921923637391
p0a776,,,1.0,,0.9261658668518067
