compound_key,uniprot,lig,pdb_ids,best_pdb
b6ywb8_dtp,B6YWB8,dtp,6KBD,6KBD
d9j2t9_lp5,D9J2T9,lp5,3QJI;4EMR;4GUW,3QJI
d9j2t9_mgp,D9J2T9,mgp,3QJI;4EMR;4GUW,3QJI
o14936_v5w,O14936,v5w,7OAI;7OAK;7OAL,7OAI
o14936_v62,O14936,v62,7OAI;7OAK;7OAL,7OAI
o14936_v6b,O14936,v6b,7OAI;7OAK;7OAL,7OAI
o14965_6f2,O14965,6f2,3FDN;3NRM;5AAG,3FDN
o14965_g7w,O14965,g7w,3O51;6HJK,3O51
o14965_ljf,O14965,ljf,3O51;6HJK,3O51
o14965_mmh,O14965,mmh,3FDN;3NRM;5AAG,3FDN
o14965_nrm,O14965,nrm,3FDN;3NRM;5AAG,3FDN
o15530_3q3,O15530,3q3,3QCY;3QD0;3RCJ,3QCY
o15530_3q4,O15530,3q4,3QCY;3QD0;3RCJ,3QCY
o15530_3rc,O15530,3rc,3QCY;3QD0;3RCJ,3QCY
o15530_mp7,O15530,mp7,3NAX;3QC4,3NAX
o60885_5j5,O60885,5j5,5E0R;7MCF,5E0R
o60885_yx4,O60885,yx4,5E0R;7MCF,5E0R
o75530_7vy,O75530,7vy,3IJC;5U5K;5U8F,3IJC
o75530_82g,O75530,82g,3IJC;5U5K;5U8F,3IJC
o75530_nds,O75530,nds,3IJC;5U5K;5U8F,3IJC
p00044_6vb,P00044,6vb,5LFT;6RGI;7PR3,5LFT
p00044_80m,P00044,80m,5LFT;6RGI;7PR3,5LFT
p00044_evb,P00044,evb,6RGI;6RSI;6RSJ;6GD9,6RGI
p00044_fwq,P00044,fwq,5LFT;6RGI;7PR3;6RSI;6RSJ,5LFT
p00183_cah,P00183,cah,1P2Y;2L8M;6WFL,1P2Y
p00183_cam,P00183,cam,1P2Y;2L8M;6WFL,1P2Y
p00183_nct,P00183,nct,1P2Y;2L8M;6WFL,1P2Y
p00533_03p,P00533,03p,3BEL;3POZ;7VRE,3BEL
p00533_7vh,P00533,7vh,3BEL;3POZ;7VRE,3BEL
p00533_8jc,P00533,8jc,5XDK;6JX0;6VH4,5XDK
p00533_pox,P00533,pox,3BEL;3POZ;7VRE,3BEL
p00533_qqm,P00533,qqm,5XDK;6JX0;6VH4,5XDK
p00533_yy3,P00533,yy3,5XDK;6JX0;6VH4,5XDK
p00698_0bp,P00698,0bp,2PC2;2YDG;7Q0U,2PC2
p00698_0uf,P00698,0uf,4FJR;4PRU;5B59,4FJR
p00698_a5c,P00698,a5c,2PC2;2YDG;7Q0U,2PC2
p00698_dm0,P00698,dm0,4FJR;4PRU;5B59,4FJR
p00698_do3,P00698,do3,5C6I;5C6L,5C6I
p00698_kto,P00698,kto,4FJR;4PRU;5B59,4FJR
p00698_pdc,P00698,pdc,2PC2;2YDG;7Q0U,2PC2
p00734_ftr,P00734,ftr,6V5T,6V5T
p00760_bet,P00760,bet,3T27,3T27
p00772_217,P00772,217,2FOE,2FOE
p01112_92v,P01112,92v,3L8Y;3RSL;5VBE,3L8Y
p01112_rsf,P01112,rsf,3L8Y;3RSL;5VBE,3L8Y
p01112_ycn,P01112,ycn,3L8Y;3RSL;5VBE,3L8Y
p01116_6ic,P01116,6ic,7RPZ;7RT2;7RT3,7RPZ
p01116_7nl,P01116,7nl,7RPZ;7RT2;7RT3,7RPZ
p01116_7nz,P01116,7nz,7RPZ;7RT2;7RT3,7RPZ
p01584_k0g,P01584,k0g,5R87;5R8B;6Y8M,5R87
p01584_k34,P01584,k34,5R87;5R8B;6Y8M,5R87
p01584_sx2,P01584,sx2,5R87;5R8B;6Y8M,5R87
p02699_bgl,P02699,bgl,2PED;3CAP;3OAX,2PED
p02699_bng,P02699,bng,2PED;3CAP;3OAX;1L9H,2PED
p02699_htg,P02699,htg,2PED;3CAP;3OAX;1L9H,2PED
p02753_2t1,P02753,2t1,3FMZ;4PSQ;5NU7,3FMZ
p02753_2wl,P02753,2wl,3FMZ;4PSQ;5NU7,3FMZ
p02753_rtl,P02753,rtl,3FMZ;4PSQ;5NU7,3FMZ
p02768_imn,P02768,imn,2BXK;2BXM;2BXQ,2BXK
p02768_moa,P02768,moa,2BXK;2BXM;2BXQ,2BXK
p02829_np5,P02829,np5,1BGQ;2FXS;2IWU,1BGQ
p02829_rda,P02829,rda,1BGQ;2FXS;2IWU,1BGQ
p02829_rdc,P02829,rdc,1BGQ;2FXS;2IWU,1BGQ
p03007_tmp,P03007,tmp,1J53;1J54,1J53
p03366_f95,P03366,f95,4QAG,4QAG
p03369_smc,P03369,smc,3HBO,3HBO
p04150_486,P04150,486,1NHZ;6DXK,1NHZ
p04150_hj4,P04150,hj4,1NHZ;6DXK,1NHZ
p04585_p1y,P04585,p1y,3QIN,3QIN
p04637_goh,P04637,goh,5AOJ;5AOK;8DC8,5AOJ
p04637_p74,P04637,p74,4AGO,4AGO
p04637_r50,P04637,r50,5AOJ;5AOK;8DC8,5AOJ
p04637_y0v,P04637,y0v,5AOJ;5AOK;8DC8,5AOJ
p05121_gde,P05121,gde,4AQH;4IC0,4AQH
p05121_tb7,P05121,tb7,4AQH;4IC0,4AQH
p05230_dbx,P05230,dbx,3JUT;3K1X,3JUT
p05230_gtq,P05230,gtq,3JUT;3K1X,3JUT
p06129_mtn,P06129,mtn,3M8B;3M8D,3M8B
p06401_30x,P06401,30x,1SR7;1ZUC;3G8O,1SR7
p06401_mof,P06401,mof,1SR7;1ZUC;3G8O,1SR7
p06401_t98,P06401,t98,1SR7;1ZUC;3G8O,1SR7
p06730_34j,P06730,34j,4DUM;4TQC;7MEU,4DUM
p06730_hli,P06730,hli,4DUM;4TQC;7MEU,4DUM
p06730_z5d,P06730,z5d,4DUM;4TQC;7MEU,4DUM
p06873_pyz,P06873,pyz,5CW1,5CW1
p07260_m7g,P07260,m7g,1AP8,1AP8
p07900_06h,P07900,06h,2FWY;3OW6;3R91,2FWY
p07900_73j,P07900,73j,5LR7;6U98,5LR7
p07900_h64,P07900,h64,2FWY;3OW6;3R91,2FWY
p07900_mex,P07900,mex,2FWY;3OW6;3R91,2FWY
p07900_q2d,P07900,q2d,5LR7;6U98,5LR7
p08069_bmi,P08069,bmi,2OJ9;3NW6;3NW7,2OJ9
p08069_lgv,P08069,lgv,2OJ9;3NW6;3NW7,2OJ9
p08069_lgw,P08069,lgw,2OJ9;3NW6;3NW7,2OJ9
p08235_e6r,P08235,e6r,6L88,6L88
p09391_78c,P09391,78c,2IC8;3B44;3B45,2IC8
p09391_bng,P09391,bng,2IC8;3B44;3B45,2IC8
p09874_09l,P09874,09l,1WOK;4ZZZ;5DS3,1WOK
p09874_cnq,P09874,cnq,1WOK;4ZZZ;5DS3,1WOK
p09874_fsu,P09874,fsu,1WOK;4ZZZ;5DS3,1WOK
p0a6a8_pm4,P0A6A8,pm4,2FAC;2FAD;2FAE,2FAC
p0a6a8_pm5,P0A6A8,pm5,2FAC;2FAD;2FAE,2FAC
p0a6a8_pm8,P0A6A8,pm8,2FAC;2FAD;2FAE,2FAC
p0a776_apc,P0A776,apc,6VCN;6VCO;6VCR,6VCN
p0a776_ctp,P0A776,ctp,6VCN;6VCO;6VCR,6VCN
p0a776_g2p,P0A776,g2p,6VCN;6VCO;6VCR,6VCN
p0aa04_hip,P0AA04,hip,1PFH,1PFH
p0acc1_sah,P0ACC1,sah,1T43,1T43
p0ad64_ma4,P0AD64,ma4,1RCJ;2H5S;3OPL,1RCJ
p0aex9_7iu,P0AEX9,7iu,7P0I;8AX5;8AX7,7P0I
p0aex9_oku,P0AEX9,oku,7P0I;8AX5;8AX7,7P0I
p0aex9_ol0,P0AEX9,ol0,7P0I;8AX5;8AX7,7P0I
p0dtd1_a4o,P0DTD1,a4o,7QCH;7QCJ;7QCK,7QCH
p0dtd1_a5i,P0DTD1,a5i,7QCH;7QCJ;7QCK,7QCH
p0dtd1_a7l,P0DTD1,a7l,7QCH;7QCJ;7QCK,7QCH
p10275_056,P10275,056,2YLP;2YLQ,2YLP
p10275_b5r,P10275,b5r,2PIQ;3B5R;3B66,2PIQ
p10275_b66,P10275,b66,2PIQ;3B5R;3B66,2PIQ
p10275_dht,P10275,dht,2PIQ;3B5R;3B66,2PIQ
p10275_ylq,P10275,ylq,2YLP;2YLQ,2YLP
p10599_com,P10599,com,4POK;4POL;4POM,4POK
p10828_4hy,P10828,4hy,1N46;1NUO;2PIN,1N46
p10828_pfa,P10828,pfa,1N46;1NUO;2PIN,1N46
p10828_t44,P10828,t44,1N46;1NUO;2PIN,1N46
p11142_bet,P11142,bet,4H5W,4H5W
p11233_nlj,P11233,nlj,6P0K;6P0L;6P0N,6P0K
p11233_nls,P11233,nls,6P0K;6P0L;6P0N,6P0K
p11233_nlv,P11233,nlv,6P0K;6P0L;6P0N,6P0K
p11838_4ay,P11838,4ay,4YD4;5SAL,4YD4
p11838_zs1,P11838,zs1,4YD4;5SAL,4YD4
p12369_1or,P12369,1or,1CX4;4JVA,1CX4
p12369_cmp,P12369,cmp,1CX4;4JVA,1CX4
p13423_2hf,P13423,2hf,3MHZ;3Q8F;4NAM,3MHZ
p13423_ftr,P13423,ftr,3MHZ;3Q8F;4NAM,3MHZ
p15319_xc2,P15319,xc2,2J7L,2J7L
p15879_nad,P15879,nad,1GZF,1GZF
p15927_sch,P15927,sch,4OU0,4OU0
p18031_512,P18031,512,2CNG;2H4G;2HB1,2CNG
p18031_694,P18031,694,2CNG;2H4G;2HB1,2CNG
p18031_964,P18031,964,1NWL;2CMB;3EB1,1NWL
p18031_f17,P18031,f17,1NWL;2CMB;3EB1,1NWL
p18031_ize,P18031,ize,2CNG;2H4G;2HB1,2CNG
p18031_lzq,P18031,lzq,1NWL;2CMB;3EB1,1NWL
p19120_3fd,P19120,3fd,6H54;7ODB;7PLK,6H54
p19120_7ue,P19120,7ue,6H54;7ODB;7PLK,6H54
p19120_v8q,P19120,v8q,6H54;7ODB;7PLK,6H54
p19793_7a4,P19793,7a4,5TBP;6HN6,5TBP
p19793_9hf,P19793,9hf,5ZQU;6HN6;7CFO,5ZQU
p19793_cps,P19793,cps,5ZQU;6HN6;7CFO;5TBP,5ZQU
p19793_wz6,P19793,wz6,5ZQU;6HN6;7CFO,5ZQU
p20701_2o7,P20701,2o7,2O7N,2O7N
p23458_0nt,P23458,0nt,3EYG;3EYH;4E5W,3EYG
p23458_iza,P23458,iza,3EYG;3EYH;4E5W,3EYG
p23458_mi1,P23458,mi1,3EYG;3EYH;4E5W,3EYG
p24941_2an,P24941,2an,1OIR;3PXZ;3PY1;4D1Z;4EZ7;5A14,1OIR
p24941_kcx,P24941,kcx,1OIR;3PXZ;3PY1,1OIR
p24941_lq5,P24941,lq5,1OIR;3PXZ;3PY1;4D1Z;4EZ7;5A14,1OIR
p24941_wg8,P24941,wg8,4D1Z;4EZ7;5A14,4D1Z
p25103_gaw,P25103,gaw,6E59;6HLL;6HLP,6E59
p25103_gbk,P25103,gbk,6E59;6HLL;6HLP,6E59
p25103_l76,P25103,l76,6E59;6HLL;6HLP,6E59
p26043_i3p,P26043,i3p,1GC6,1GC6
p27694_1ej,P27694,1ej,4IJH,4IJH
p28482_hrz,P28482,hrz,4QP1;4XJ0;6QA4,4QP1
p28482_nep,P28482,nep,4QP1;4XJ0;6QA4,4QP1
p31016_azh,P31016,azh,5MZ7;5W72,5MZ7
p31021_gsp,P31021,gsp,3REG,3REG
p31749_0r4,P31749,0r4,3O96;4EJN;6HHI,3O96
p31749_g4n,P31749,g4n,3O96;4EJN;6HHI,3O96
p31749_iqo,P31749,iqo,3O96;4EJN;6HHI,3O96
p35439_ac5,P35439,ac5,1PBQ;1Y1M;4KFQ,1PBQ
p35439_dk1,P35439,dk1,1PBQ;1Y1M;4KFQ,1PBQ
p35439_kfq,P35439,kfq,1PBQ;1Y1M;4KFQ,1PBQ
p35557_aji,P35557,aji,1V4S;3A0I;3S41,1V4S
p35557_g2t,P35557,g2t,7T78,7T78
p35557_mrk,P35557,mrk,1V4S;3A0I;3S41,1V4S
p35557_s41,P35557,s41,1V4S;3A0I;3S41,1V4S
p37231_eb6,P37231,eb6,6JF0;7EFQ;8DSY,6JF0
p37231_gw4,P37231,gw4,2G0H;2POB;3B0Q,2G0H
p37231_imn,P37231,imn,4XUM,4XUM
p37231_j3f,P37231,j3f,6JF0;7EFQ;8DSY,6JF0
p37231_mc5,P37231,mc5,2G0H;2POB;3B0Q,2G0H
p37231_sp3,P37231,sp3,2G0H;2POB;3B0Q,2G0H
p37231_tjc,P37231,tjc,6JF0;7EFQ;8DSY,6JF0
p38340_sah,P38340,sah,7D8F,7D8F
p42336_1lt,P42336,1lt,8GUA,8GUA
p42568_7iy,P42568,7iy,7VKH,7VKH
p43220_uk4,P43220,uk4,7LCJ,7LCJ
p45983_aq2,P45983,aq2,3ELJ;3PZE;4AWI,3ELJ
p45983_cfk,P45983,cfk,3ELJ;3PZE;4AWI,3ELJ
p45983_gs7,P45983,gs7,3ELJ;3PZE;4AWI,3ELJ
p47811_7zc,P47811,7zc,5R91;5R9C;5R9F,5R91
p47811_snv,P47811,snv,5R91;5R9C;5R9F,5R91
p47811_sqp,P47811,sqp,5R91;5R9C;5R9F,5R91
p48061_3gg,P48061,3gg,4UAI,4UAI
p50616_549,P50616,549,5CI9,5CI9
p51449_4f1,P51449,4f1,5LWP;6T4U,5LWP
p51449_4y5,P51449,4y5,5C4S;5C4T;6CVH,5C4S
p51449_4y6,P51449,4y6,5C4S;5C4T;6CVH,5C4S
p51449_79u,P51449,79u,5LWP;6T4U,5LWP
p51449_fjg,P51449,fjg,5C4S;5C4T;6CVH,5C4S
p53355_47x,P53355,47x,5AUU;5AUX;5AV3,5AUU
p53355_kmp,P53355,kmp,5AUU;5AUX;5AV3,5AUU
p53355_lu2,P53355,lu2,5AUU;5AUX;5AV3,5AUU
p53667_9db,P53667,9db,5NXC;8AAU,5NXC
p53667_lh0,P53667,lh0,5NXC;8AAU,5NXC
p53779_46c,P53779,46c,1PMU;2O0U;2ZDT,1PMU
p53779_9hp,P53779,9hp,1PMU;2O0U;2ZDT,1PMU
p53779_c0m,P53779,c0m,1PMU;2O0U;2ZDT,1PMU
p60568_mhc,P60568,mhc,1M4A;1NBP,1M4A
p60568_mpe,P60568,mpe,1M4A;1NBP,1M4A
p60842_sau,P60842,sau,5ZBZ,5ZBZ
p61586_8zo,P61586,8zo,6KX3,6KX3
p61769_tfx,P61769,tfx,4RA3,4RA3
p62136_bkm,P62136,bkm,6ALZ,6ALZ
p62330_gsp,P62330,gsp,2J5X,2J5X
p62593_4ou,P62593,4ou,1AXB;1PZO;4ZJ1,1AXB
p62593_cbt,P62593,cbt,1AXB;1PZO;4ZJ1,1AXB
p62593_fos,P62593,fos,1AXB;1PZO;4ZJ1,1AXB
p62937_l60,P62937,l60,5NOU,5NOU
p63086_38z,P63086,38z,4I5H;5HD4,4I5H
p63086_dx4,P63086,dx4,3ERK;4I5H;4XOY,3ERK
p63086_g17,P63086,g17,3ERK;4I5H;4XOY;5HD4,3ERK
p63086_sb4,P63086,sb4,3ERK;4I5H;4XOY,3ERK
p63279_5vl,P63279,5vl,5F6W,5F6W
p63316_ftr,P63316,ftr,2JT8;2JTZ,2JT8
p68135_rlz,P68135,rlz,7AHN,7AHN
p68400_0y4,P68400,0y4,4GUB;5M4I;5MOT,4GUB
p68400_7fc,P68400,7fc,4GUB;5M4I;5MOT,4GUB
p68400_hbd,P68400,hbd,4GUB;5M4I;5MOT,4GUB
p77173_cl3,P77173,cl3,1S1J;1Y2F;1Y2G,1S1J
p77173_iqz,P77173,iqz,1S1J;1Y2F;1Y2G,1S1J
p77173_wai,P77173,wai,1S1J;1Y2F;1Y2G,1S1J
p97784_6i3,P97784,6i3,7D19;7D1C;7WVA,7D19
p97784_goc,P97784,goc,7D19;7D1C;7WVA,7D19
p97784_gof,P97784,gof,7D19;7D1C;7WVA,7D19
q02724_csx,Q02724,csx,2HKP,2HKP
q04771_lu8,Q04771,lu8,5S7L;5S7T;5S8B;5S7U;5S84;5S85,5S7L
q04771_q5z,Q04771,q5z,5S7U;5S84;5S85,5S7U
q04771_t5y,Q04771,t5y,5S7L;5S7T;5S8B,5S7L
q04771_xej,Q04771,xej,5S7L;5S7T;5S8B,5S7L
q04771_xk4,Q04771,xk4,5S7U;5S84;5S85,5S7U
q06124_5od,Q06124,5od,6BMR;6BMW;6BMY,6BMR
q06124_dyv,Q06124,dyv,6BMR;6BMW;6BMY,6BMR
q06124_dzs,Q06124,dzs,6BMR;6BMW;6BMY,6BMR
q07869_az2,Q07869,az2,1I7G;2REW;2ZNN,1I7G
q07869_gw9,Q07869,gw9,6KB5;6L36,6KB5
q07869_ity,Q07869,ity,6KB5;6L36,6KB5
