Pocket_ID,UniProt_ID,Protein_Name,Gene_Name,Cavity_Index,Total_Instances,Unique_PDBs,Unique_Ligands,Sample_PDBs,Sample_Ligands
P07900_N1,P07900,Heat shock protein HSP 90-alpha,HSP90AA1,N1,227,223,207,"2fwy, 3r91, 3ow6","H64, 06H, MEX"
Q16539_N1,Q16539,Mitogen-activated protein kinase 14,MAPK14,N1,153,132,126,"2zaz, 2gfs, 3nww","GK1, PQB, 3NW"
P00533_N1,P00533,Epidermal growth factor receptor,EGFR,N1,150,143,109,"3poz, 3bel, 7vre","03P, POX, 7VH"
P37231_N1,P37231,Peroxisome proliferator-activated receptor gamma,PPARG,N1,112,105,90,"2g0h, 3b0q, 2pob","SP3, MC5, GW4"
O14965_N1,O14965,Aurora kinase A,AURKA,N1,87,86,78,"3nrm, 5aag, 3fdn","NRM, 6F2, MMH"
Q04771_N1,Q04771,Activin receptor type-1,ACVR1,N1,62,44,8,"5s7l, 5s8b, 5s7t","LU8, XEJ, T5Y"
P18031_N1,P18031,Tyrosine-protein phosphatase non-receptor type 1,PTPN1,N1,48,48,36,"2cng, 2h4g, 2hb1","IZE, 694, 512"
P09874_N1,P09874,Poly [ADP-ribose] polymerase 1,PARP1,N1,42,42,33,"1wok, 5ds3, 4zzz","CNQ, 09L, FSU"
P10275_N1,P10275,Androgen receptor,AR,N1,40,34,22,"2piq, 3b5r, 3b66","DHT, B5R, B66"
O15530_N1,O15530,3-phosphoinositide-dependent protein kinase 1,PDPK1,N1,39,39,37,"3qd0, 3rcj, 3qcy","3Q4, 3RC, 3Q3"
P53779_N1,P53779,Mitogen-activated protein kinase 10,MAPK10,N1,36,31,32,"1pmu, 2zdt, 2o0u","9HP, 46C, C0M"
P0AD64_N1,P0AD64,DNA gyrase subunit B,gyrB,N1,30,27,1,"2h5s, 3opl, 1rcj",MA4
P23458_N1,P23458,Tyrosine-protein kinase JAK1,JAK1,N1,29,29,29,"3eyg, 3eyh, 4e5w","MI1, IZA, 0NT"
P51449_N1,P51449,Nuclear receptor ROR-gamma,RORC,N1,28,28,23,"5c4t, 6cvh, 5c4s","4Y6, FJG, 4Y5"
Q07869_N1,Q07869,Acetyl-CoA carboxylase 2,ACACA,N1,28,26,16,"1i7g, 2rew, 2znn","AZ2, REW, S44"
Q16539_N2,Q16539,Mitogen-activated protein kinase 14,MAPK14,N2,27,27,25,"3e93, 3bv2, 3d83","19B, P38, GK6"
Q13451_N1,Q13451,Peptidyl-prolyl cis-trans isomerase FKBP5,FKBP5,N1,26,26,24,"5bxj, 5obk, 5div","NPO, 9QN, 5BH"
P35557_N1,P35557,Glucokinase,GCK,N1,25,25,23,"3a0i, 3s41, 1v4s","AJI, S41, MRK"
Q06124_N1,Q06124,Tyrosine-protein phosphatase non-receptor type 11,PTPN11,N1,24,21,18,"6bmy, 6bmw, 6bmr","5OD, DYV, DZS"
P24941_N1,P24941,Cyclin-dependent kinase 2,CDK2,N1,23,22,15,"1oir, 3pxz, 3py1","KCX, 2AN, LQ5"
P63086_N1,P63086,Mitogen-activated protein kinase 1 (Mouse),MAPK1,N1,23,23,22,"3erk, 4xoy, 4i5h","SB4, DX4, G17"
P09391_N1,P09391,Carbonic anhydrase 9,CA9,N1,21,12,2,"3b45, 3b44, 2ic8","BNG, 78C"
P02829_N1,P02829,Histatin-1,HTN1,N1,20,20,16,"2fxs, 1bgq, 2iwu","RDA, RDC, NP5"
O75530_N1,O75530,Protein kinase C theta type,PRKCQ,N1,20,18,12,"3ijc, 5u5k, 5u8f","NDS, 7VY, 82G"
Q9GZT9_N1,Q9GZT9,Egl nine homolog 1,EGLN1,N1,19,17,15,"2hbt, 3oui, 3ouh","UN9, 42Z, 014"
Q9H7B4_N1,Q9H7B4,Serine/threonine-protein kinase VRK1,VRK1,N1,19,19,3,"3oxg, 3pdn, 7qa6","SAH, SFG, SAM"
P01116_N1,P01116,GTPase KRas,KRAS,N1,17,17,16,"7rt2, 7rt3, 7rpz","7NL, 7NZ, 6IC"
P04637_N1,P04637,Cellular tumor antigen p53,TP53,N1,15,14,14,"8dc8, 5aoj, 5aok","R50, Y0V, GOH"
P68400_N1,P68400,Casein kinase II subunit alpha,CSNK2A1,N1,14,14,13,"4gub, 5m4i, 5mot","0Y4, 7FC, HBD"
P10828_N1,P10828,Thyroid hormone receptor alpha,THRA,N1,14,14,8,"1nuo, 1n46, 2pin","4HY, PFA, T44"
