uniprot	pdb_id
O00411	7A8P
O00757	3IFA
O00757	3IFC
O00757	5ET6
O00757	5ET8
O14842	5KW2
O14842	5TZR
O14842	5TZY
O43739	6U3E
O43739	6U3G
O75874	4UMX
O75874	5DE1
O75874	5K11
O75874	5L57
O75874	5L58
O75874	5LGE
O75874	5SUN
O75874	5SVF
O75874	5TQH
O75874	6B0Z
O75874	6BKY
O75874	6BKZ
O75874	6O2Y
O75874	6O2Z
P00338	6SBU
P00338	6SBV
P01008	1AZX
P01008	1E03
P01008	1NQ9
P01008	1SR5
P01008	1TB6
P01008	3EVJ
P01008	3KCG
P01112	3K8Y
P01112	3LBH
P01112	3LBI
P01112	3OIU
P01112	3OIV
P01112	3OIW
P01112	4DLR
P01112	4DLT
P01112	4DLU
P01112	4DLV
P01112	4DLW
P01112	4DLX
P01112	4DLY
P01112	4DLZ
P01112	4G0N
P01112	5E95
P01112	5ZC6
P01375	6X81
P01375	6X82
P01375	6X83
P01375	6X85
P01375	6X86
P02768	1E7B
P02768	1E7C
P02768	2BX8
P02768	2BXA
P02768	2BXB
P02768	2BXC
P02768	2BXD
P02768	2BXE
P02768	2BXG
P02768	2BXH
P02768	3LU6
P02768	3LU7
P04062	5LVX
P04746	1B2Y
P04746	1BSI
P04746	1CPU
P04746	1HNY
P04746	1KBB
P04746	1KBK
P04746	1U2Y
P04746	1U30
P04746	1U33
P04746	1XCW
P04746	1XCX
P04746	1XD0
P04746	1XD1
P04746	1XH1
P04746	1XH2
P04746	2CPU
P04746	2QMK
P04746	2QV4
P04746	3BAI
P04746	3BAJ
P04746	3BAK
P04746	3BAW
P04746	3BAX
P04746	3BAY
P04746	3CPU
P04746	3IJ7
P04746	3IJ8
P04746	3IJ9
P04746	3OLD
P04746	3OLE
P04746	3OLG
P04746	3OLI
P04746	4GQQ
P04746	4GQR
P05121	3UT3
P05121	4AQH
P05121	4G8O
P05121	4G8R
P07550	5X7D
P07550	6N48
P07550	6OBA
P09467	1FTA
P09467	2FHY
P09467	2FIE
P09467	2FIX
P09467	2JJK
P09467	2VT5
P09467	2WBB
P09467	2WBD
P09467	2Y5K
P09467	2Y5L
P09467	3A29
P09467	3KBZ
P09467	3KC0
P09467	3KC1
P09467	4MJO
P09467	5PZR
P09467	5PZS
P09467	5PZT
P09467	5PZU
P09467	5PZV
P09467	5PZW
P09467	5PZX
P09467	5PZY
P09467	5PZZ
P09467	5Q00
P09467	5Q01
P09467	5Q02
P09467	5Q03
P09467	5Q04
P09467	5Q05
P09467	5Q06
P09467	5Q07
P09467	5Q08
P09467	5Q09
P09467	5Q0A
P09467	5Q0B
P09467	6LS5
P09917	6NCF
P14174	3IJG
P14174	3IJJ
P14174	3U18
P14174	6PEG
P14618	1T5A
P14618	3BJF
P14618	3GQY
P14618	3GR4
P14618	3H6O
P14618	4B2D
P14618	4FXF
P14618	4G1N
P14618	5X0I
P14618	6GG3
P14618	6GG4
P14618	6GG5
P14618	6GG6
P14618	6NU1
P14618	6NU5
P14618	6NUB
P14618	6V74
P14618	6V75
P14618	6V76
P14902	5WMV
P14902	5WMX
P17707	1I72
P17707	1I79
P17707	1I7B
P17707	1I7C
P17707	1I7M
P17707	1MSV
P17707	3DZ3
P17707	3EP5
P17707	3EPA
P17707	3EPB
P17707	3H0V
P17707	3H0W
P21554	6KQI
P21554	7FEE
P21554	7WV9
P23368	1GZ3
P23368	1GZ4
P23368	1PJ2
P23368	1PJ3
P23368	1PJ4
P23921	2WGH
P23921	3HNC
P23921	3HND
P23921	3HNE
P23921	3HNF
P23921	6AUI
P27338	1OJ9
P27338	2BK3
P27338	2BYB
P27338	2C65
P27338	2V5Z
P27338	2V60
P27338	2V61
P27338	2XCG
P27338	2XFN
P27338	2XFO
P27338	2XFP
P27338	2XFQ
P27338	3ZYX
P27338	4A79
P27338	4A7A
P27338	4CRT
P30559	6TPK
P30793	6Z88
P30793	6Z89
P31327	5DOU
P31327	6UEL
P31327	6W2J
P35520	4PCU
P35520	4UUU
P36544	5AFJ
P36544	5AFK
P36544	5AFL
P36544	5AFM
P36544	5AFN
P37231	3K8S
P37231	6MS7
P41594	5CGC
P41594	5CGD
P41594	6FFH
P41594	6FFI
P41594	7FD8
P41594	7P2L
P42574	3KJF
P43220	5VEW
P43220	5VEX
P43220	6VCB
P43220	7DUQ
P46926	1NE7
P47871	5XEZ
P47871	5XF1
P49366	6P4V
P49366	6PGR
P49366	6WKZ
P49366	6WL6
P49902	2JC9
P49902	2XCV
P49902	2XCW
P49902	2XJC
P49902	2XJD
P49902	2XJE
P49902	2XJF
P49902	4H4B
P49902	5OPK
P49902	5OPM
P51553	6L57
P51668	4QPL
P54619	4CFE
P54619	4CFF
P54619	4REW
P55210	1SHJ
P55210	1SHL
P55210	2QLJ
P55210	4FEA
P55210	5V6U
P55210	5V6Z
P61586	6KX3
P62942	1FAP
P62942	1NSG
P62942	2FAP
P62942	3FAP
P62942	4FAP
P69905	1G9V
P69905	2D5Z
P69905	4NI0
P69905	5E29
P69905	5KSI
P69905	5U3I
P69905	5UFJ
P69905	5X2S
P69905	5X2T
P69905	6BNR
